model,tier,system,qid,type,judge,fuzzy,latency_ms,cost_usd,turns,gt_suspect,over_answered
claude-haiku-4-5,200,graph,MH-6,multi-hop,1.0,1.0,10354,0.030132900000000004,4.0,False,False
claude-haiku-4-5,200,sql-fts,MH-6,multi-hop,1.0,1.0,7965,0.015920049999999998,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-6,multi-hop,1.0,1.0,14638,0.0364423,4.0,False,False
claude-haiku-4-5,200,llm-only,MH-6,multi-hop,1.0,1.0,8128,0.0208063,1.0,False,False
claude-haiku-4-5,200,graph,COH-39,cohort,1.0,1.0,6473,0.01986415,2.0,False,False
claude-haiku-4-5,200,sql-fts,COH-39,cohort,0.0,0.0,5470,0.015785050000000002,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-39,cohort,0.5,0.8000000000000002,17066,0.0363877,4.0,False,False
claude-haiku-4-5,200,llm-only,COH-39,cohort,0.0,0.0,38961,0.056970049999999994,1.0,False,False
claude-haiku-4-5,200,graph,UNA-17,unanswerable,0.0,0.0,18964,0.0384268,4.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-17,unanswerable,0.0,0.0,13829,0.0400613,1.0,False,False
